1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
Transaction Id,Group Id,Loan Id,Prospectus Loan Id,Original Note Amount,Original Term Of Loan,Original Amortization Term,Original Note Rate,Original Payment Rate,First Loan Payment Due Date,Grace Days Allowed,Interest Only (Y/N),Balloon  (Y/N),Interest Rate Type,Interest Accrual Method,Interest in Arrears,Payment Type Code,Prepayment Lock-out End Date,Yield Maintenance End Date,Prepayment Premium  End Date,Prepayment Terms Description,ARM Index Code,First Rate Adjustment Date,First Payment Adjustment Date,ARM Margin,Lifetime Rate Cap,Lifetime Rate Floor,Periodic Rate Increase Limit,Periodic Rate Decrease Limit,Periodic Pay Adjustment Max-%,Periodic Pay Adjustment Max-$,Payment Frequency,Rate Reset Frequency,Pay Reset Frequency,Rounding Code,Rounding Increment,Index Look Back in Days,Negative Amortization Allowed (Y/N),Max Neg Allowed (% of Orig Bal),Maximum Negate Allowed ($),Remaining Term At Contribution,Remaining Amort Term At Contribution,Maturity Date At Contribution,Scheduled Principal Balance At Contribution,Note Rate At Contribution,Servicer and Trustee Fee Rate,Fee Rate / Strip Rate 1,Fee Rate / Strip Rate 2,Fee Rate / Strip Rate 3,Fee Rate / Strip Rate 4,Fee Rate / Strip Rate 5,Net Rate At Contribution,Periodic P&I Payment At Contribution,# of Properties at Contribution,Property Name,Property Address,Property City,Property State,Property Zip Code,Property County,Property Type Code,Net Rentable Square Feet At Contribution,# of Units/Beds/Rooms At Contribution,Year Built,NOI At Contribution,DSCR (NOI) At Contribution,Appraisal Value At Contribution,Appraisal Date At Contribution,Physical Occupancy At Contribution,Revenue At Contribution,Operating Expenses At Contribution,Contribution Financials As Of Date,Recourse (Y/N),EMPTY FIELD,Cross-Collateralized Loan Grouping,Collection Of Escrows (Y/N),Collection of Other Reserves (Y/N),Lien Position At Contribution,Hyper Amortizing Begin Date,Defeasance Option Start Date,EMPTY FIELD,Last Setup Change Date,NCF At Contribution,DSCR (NCF) at Contribution,DSCR Indicator at Contribution,Loan Contributor to Securitization,Credit Tenant Lease,Financial Information Submission Penalties,Additional Financing Indicator,Loan Structure Code
MSBAM15C26,,1442878,9,23750000,120,360,0.04515,0.04515,20150901,5,N,Y,1,3,Y,2,20170731,20250430,,LO(23);YM1(93);O(4),,,,,,,,,,,1,,,,,,N,,,117,357,20250801,23662049.32,0.04515,0.000561,,,,,0.000005,0.044584,120549.53,1,Green Valley Corporate Center,"901 and 1401 Green Valley Parkway and 2230, 2240, 2250 and 2260 Corporate Circle",Henderson,NV,89074,Clark,OF,198939,,1995-1999,2334178.99,,34700000,20150602,0.82,3405979.16,1071800.17,,N,,,Y,Y,1,,,,20151112,2112463.07,,,MSMCH,,,0,WL
MSBAM15C26,,300801328,10,22800000,120,360,0.04292,0.04292,20151001,5,Y,Y,1,3,Y,5,20171130,,,LO(26);DEF(87);O(7),,,20201001,,,,,,,,1,,,,,,N,,,118,360,20250901,22800000,0.04292,0.000161,,,,,0.000005,0.042754,81548,1,Sunset Cove Apartments,5225 East Charleston Boulevard,Las Vegas,NV,89142,Clark,MF,,392,1989-1991,1945813,,31600000,20150616,0.93,3370680,1424867,,N,,,Y,Y,1,,20171201,,20151112,1836053,,,BANA,,,0,WL
MSBAM15C26,,304971011,11,21150000,120,360,0.04375,0.04375,20150901,0,Y,Y,1,3,Y,5,20171130,,,LO(27);DEF(89);O(4),,,20190901,,,,,,,,1,,,,,,N,,,117,360,20250801,21150000,0.04375,0.000461,,,,,0.000005,0.043284,77109.38,1,Landmark at City Park,2201 West Orem Drive,Houston,TX,77047,Harris,MF,,288,2008,1755506.08,,28730000,20150430,0.96,3604588.78,1849082.7,,N,,,Y,Y,1,,20171201,,20151112,1683506.08,,,MSMCH,,,0,WL
MSBAM15C26,,304971012,12,19500000,120,360,0.0425,0.0425,20150901,0,N,Y,1,3,Y,2,20171130,,,LO(27);DEF(89);O(4),,,,,,,,,,,1,,,,,,N,,,117,357,20250801,19423731.29,0.0425,0.000811,,,,,0.000005,0.041684,95928.28,1,West Oaks Landing Apartments,15250 Gray Ridge Drive,Houston,TX,77082,Harris,MF,,464,1984,1794983.15,,26200000,20150512,0.95,4128262.4,2333279.25,,N,,,Y,Y,1,,20171201,,20151112,1678983.15,,,MSMCH,,,0,WL
MSBAM15C26,,695100581,13,19250000,120,360,0.04603,0.04603,20151106,0,Y,Y,1,3,Y,5,20171205,,,LO(25);DEF(89);O(6),,,20201106,,,,,,,,1,,,,,,N,,,119,360,20251006,19250000,0.04603,0.000161,,,,,0.000005,0.045864,73839.79,4,Columbus Self Storage Portfolio,Various,Various,OH,Various,Various,SS,302390,,,1689657.08,,27100000,,0.91,2665574,975916.92,,N,,,Y,Y,1,,20171206,,20151112,1659417.08,,,SMF III,,,0,WL
MSBAM15C26,,300801391,14,18000000,120,360,0.04685,0.04685,20151201,5,N,Y,1,3,Y,2,20171130,,,LO(24);DEF(92);O(4),,,,,,,,,,,1,,,,,,N,,,120,360,20251101,18000000,0.04685,0.000161,,,,,0.000005,0.046684,93192.59,2,Compass Bank Plaza & Silver Square,Various,Albuquerque,NM,87102,Bernalillo,OF,345212,,,3120141,,27500000,,0.88,5143683,2023542,,N,,,Y,Y,1,,20171201,,20151112,2808110,,,BANA,,,0,WL
MSBAM15C26,,300801367,15,17550000,120,360,0.04805,0.04805,20151101,5,Y,Y,1,3,Y,5,20171130,20250630,,LO(25);DEF/YM1(91);O(4),,,20181101,,,,,,,,1,,,,,,N,,,119,360,20251001,17550000,0.04805,0.000161,,,,,0.000005,0.047884,70273.13,1,Stoney Park Place Apartments,56114 Stoney Place Drive,Shelby Township,MI,48316,Macomb,MF,,150,2002,1570187,,23400000,20150616,0.93,2292710,722523,,N,,,Y,Y,1,,20171201,,20151112,1532687,,,BANA,,,0,WL
MSBAM15C26,,1238793,16,17000000,120,360,0.0515,0.0515,20151201,0,N,Y,1,3,Y,2,20171130,,,LO(24);DEF(89);O(7),,,,,,,,,,,1,,,,,,N,,,120,360,20251101,17000000,0.0515,0.000161,,,,,0.000005,0.051334,92824.46,1,Hotel Los Gatos,210 East Main Street,Los Gatos,CA,95030,Santa Clara County,LO,,72,2002,2484039.81,,30700000,20150804,0.74,6405677.81,3921638,,N,,,Y,Y,1,,20171201,,20151112,2227812.81,,,MSMCH,,,0,WL
MSBAM15C26,,304971017,17,16250000,120,360,0.0432,0.0432,20150801,0,Y,Y,1,3,Y,5,20171130,,,LO(28);DEF(88);O(4),,,20190801,,,,,,,,1,,,,,,N,,,116,360,20250701,16250000,0.0432,0.000461,,,,,0.000005,0.042734,58500,1,Landmark D'Iberville,11059 Lamey Bridge Road,D'Iberville,MS,39540,Harrison,MF,,288,2009,1425519.73,,23500000,20150605,0.94,2597887.92,1172368.19,,N,,,Y,Y,1,,20171201,,20151112,1353519.73,,,MSMCH,,,0,WL
MSBAM15C26,,304971018,18,16200000,120,360,0.0484,0.0484,20150801,7,Y,Y,1,3,Y,5,20171130,,,LO(28);DEF(88);O(4),,,20180801,,,,,,,,1,,,,,,N,,,116,360,20250701,16200000,0.0484,0.000161,,,,,0.000005,0.048234,65340,1,Wynthrope Forest Apartments,8082 Webb Road,Riverdale,GA,30274,Clayton,MF,,270,1999,1461858,,22200000,20150526,0.98,2691221,1229363,,N,,,Y,Y,1,,20171201,,20151112,1392738,,,CIBC,,,0,WL
