1,2,3,4,5,6,7,8,9
Tran ID,Loan ID,Prop ID,Begin yyyyMMdd,Ending yyyyMMdd,Data Type,Stmt Type,Category,Amount
 CGCMT16P5,030297782,01A1-001,20170101,20170630,YTD,NOR,160OTHERIN,14216.00
 CGCMT16P5,030297782,01A1-001,20170101,20170630,YTD,BOR,270ROOMS,3041373.00
 CGCMT16P5,030297782,01A1-001,20170101,20170630,YTD,ADJ,270ROOMS,3041373.00
 CGCMT16P5,030297782,01A1-001,20170101,20170630,YTD,NOR,270ROOMS,6082746.00
 CGCMT16P5,030297782,01A1-001,20170101,20170630,YTD,BOR,280FOODBEV,4428990.00
 CGCMT16P5,030297782,01A1-001,20170101,20170630,YTD,ADJ,280FOODBEV,4428990.00
 CGCMT16P5,030297782,01A1-001,20170101,20170630,YTD,NOR,280FOODBEV,8857980.00
 CGCMT16P5,030297782,01A1-001,20170101,20170630,YTD,BOR,290PHONE,437345.00
 CGCMT16P5,030297782,01A1-001,20170101,20170630,YTD,ADJ,290PHONE,437345.00
 CGCMT16P5,030297782,01A1-001,20170101,20170630,YTD,NOR,290PHONE,874690.00
 CGCMT16P5,030297782,01A1-001,20170101,20170630,YTD,BOR,300OTHDEPT,0.00
 CGCMT16P5,030297782,01A1-001,20170101,20170630,YTD,ADJ,300OTHDEPT,0.00
 CGCMT16P5,030297782,01A1-001,20170101,20170630,YTD,NOR,300OTHDEPT,0.00
 CGCMT16P5,030297782,01A1-001,20170101,20170630,YTD,BOR,310RETAXES,1042316.00
 CGCMT16P5,030297782,01A1-001,20170101,20170630,YTD,ADJ,310RETAXES,1042316.00
 CGCMT16P5,030297782,01A1-001,20170101,20170630,YTD,NOR,310RETAXES,2084632.00
 CGCMT16P5,030297782,01A1-001,20170101,20170630,YTD,BOR,320PROPINS,160586.00
 CGCMT16P5,030297782,01A1-001,20170101,20170630,YTD,ADJ,320PROPINS,160586.00
 CGCMT16P5,030297782,01A1-001,20170101,20170630,YTD,NOR,320PROPINS,321172.00
 CGCMT16P5,030297782,01A1-001,20170101,20170630,YTD,BOR,330UTILITI,423469.00
 CGCMT16P5,030297782,01A1-001,20170101,20170630,YTD,ADJ,330UTILITI,423469.00
 CGCMT16P5,030297782,01A1-001,20170101,20170630,YTD,NOR,330UTILITI,846938.00
 CGCMT16P5,030297782,01A1-001,20170101,20170630,YTD,BOR,340REPAIRS,757014.00
 CGCMT16P5,030297782,01A1-001,20170101,20170630,YTD,ADJ,340REPAIRS,757014.00
 CGCMT16P5,030297782,01A1-001,20170101,20170630,YTD,NOR,340REPAIRS,1514028.00
 CGCMT16P5,030297782,01A1-001,20170101,20170630,YTD,BOR,370MANAGEM,856301.00
 CGCMT16P5,030297782,01A1-001,20170101,20170630,YTD,ADJ,370MANAGEM,2040746.60
 CGCMT16P5,030297782,01A1-001,20170101,20170630,YTD,NOR,370MANAGEM,2897047.60
 CGCMT16P5,030297782,01A1-001,20170101,20170630,YTD,BOR,390MARKETI,1216532.00
 CGCMT16P5,030297782,01A1-001,20170101,20170630,YTD,ADJ,390MARKETI,1216532.00
 CGCMT16P5,030297782,01A1-001,20170101,20170630,YTD,NOR,390MARKETI,2433064.00
 CGCMT16P5,030297782,01A1-001,20170101,20170630,YTD,BOR,410GENERAL,1307386.00
 CGCMT16P5,030297782,01A1-001,20170101,20170630,YTD,ADJ,410GENERAL,1307386.00
 CGCMT16P5,030297782,01A1-001,20170101,20170630,YTD,NOR,410GENERAL,2614772.00
 CGCMT16P5,030297782,01A1-001,20170101,20170630,YTD,BOR,440OTHEREX,0.00
 CGCMT16P5,030297782,01A1-001,20170101,20170630,YTD,ADJ,440OTHEREX,0.00
 CGCMT16P5,030297782,01A1-001,20170101,20170630,YTD,NOR,440OTHEREX,0.00
 CGCMT16P5,030297782,01A1-001,20170101,20170630,YTD,BOR,510CAPEX,971327.00
 CGCMT16P5,030297782,01A1-001,20170101,20170630,YTD,ADJ,510CAPEX,1023412.78
 CGCMT16P5,030297782,01A1-001,20170101,20170630,YTD,NOR,510CAPEX,1994739.78
 CGCMT16P5,030311379,11A31-001,20150901,20160815,UB,BOR,160OTHERIN,10455998.00
 CGCMT16P5,030311379,11A31-001,20150901,20160815,UB,BOR,440OTHEREX,0.00
 CGCMT16P5,030311379,11A31-001,20160801,20161231,AN,BOR,160OTHERIN,3125000.00
 CGCMT16P5,030311379,11A31-001,20160801,20161231,AN,ADJ,160OTHERIN,4375000.00
 CGCMT16P5,030311379,11A31-001,20160801,20161231,AN,NOR,160OTHERIN,7500000.00
 CGCMT16P5,030311379,11A31-001,20160801,20161231,AN,BOR,410GENERAL,25.00
 CGCMT16P5,030311379,11A31-001,20160801,20161231,AN,ADJ,410GENERAL,35.00
 CGCMT16P5,030311379,11A31-001,20160801,20161231,AN,NOR,410GENERAL,60.00
 CGCMT16P5,030311379,11A31-001,20160801,20161231,AN,BOR,440OTHEREX,0.00
 CGCMT16P5,030311379,11A31-001,20160801,20161231,AN,ADJ,440OTHEREX,0.00
 CGCMT16P5,030311379,11A31-001,20160801,20161231,AN,NOR,440OTHEREX,0.00
 CGCMT16P5,030311379,11A31-001,20170101,20170930,YTD,BOR,160OTHERIN,6375002.00
 CGCMT16P5,030311379,11A31-001,20170101,20170930,YTD,ADJ,160OTHERIN,2125000.67
 CGCMT16P5,030311379,11A31-001,20170101,20170930,YTD,NOR,160OTHERIN,8500002.67
 CGCMT16P5,030311379,11A31-001,20170101,20170930,YTD,BOR,340REPAIRS,4609.00
 CGCMT16P5,030311379,11A31-001,20170101,20170930,YTD,ADJ,340REPAIRS,1536.33
 CGCMT16P5,030311379,11A31-001,20170101,20170930,YTD,NOR,340REPAIRS,6145.33
