CGCMT17P8,304101875,4,4-010,20171117,,CORPORATE WOODS - BUILDING 12,10975 BENSON DRIVE,OVERLAND PARK,KS,66210,,OF,1986,,98648,0,6,0.04230120,0.04230120,1265813.6769021720,N,,20170615,12500000,,,,,,,,,,,,,,,,,,,20170929,1970953,1200101,770852,1.3625,12500000,20170615,0.8060,,,,,,,,,,,,,,,,20170929,,,,,,,,,642797,1.1362,,,,,,,CMSA,,,,,,,N,,,,,,,,
CGCMT17P8,304101875,4,4-011,20171117,,CORPORATE WOODS - BUILDING 27,10975 GRANDVIEW DRIVE,OVERLAND PARK,KS,66210,,OF,1978,,96518,0,6,0.041286,0.041286,1235435.01046266,N,,20170615,12200000,,,,,,,,,,,,,,,,,,,20170929,2090779,1079650,1011129,1.8312,12200000,20170615,0.9520,,,,,,,,,,,,,,,,20170929,,,,,,,,,882814,1.5988,,,,,,,CMSA,,,,,,,N,,,,,,,,
CGCMT17P8,304101875,4,4-012,20171117,,CORPORATE WOODS - BUILDING 51,9393 WEST 110TH STREET,OVERLAND PARK,KS,66210,,OF,1977,,89789,0,6,0.035533,0.035533,1063283.24920723,N,,20170615,10500000,,,,,,,,,,,,,,,,,,,20170929,1928862,1027328,901534,1.8971,10500000,20170615,0.9420,,,,,,,,,,,,,,,,20170929,,,,,,,,,769152,1.6185,,,,,,,CMSA,,,,,,,N,,,,,,,,
CGCMT17P8,304101875,4,4-013,20171117,,CORPORATE WOODS - BUILDING 55,9300 WEST 110TH STREET,OVERLAND PARK,KS,66210,,OF,1977,,89221,0,6,0.03485620,0.03485620,1043030.8049142220,N,,20170615,10300000,,,,,,,,,,,,,,,,,,,20170929,1824128,1021945,802183,1.7208,10300000,20170615,0.8840,,,,,,,,,,,,,,,,20170929,,,,,,,,,674972,1.4479,,,,,,,CMSA,,,,,,,N,,,,,,,,
CGCMT17P8,304101875,4,4-014,20171117,,CORPORATE WOODS - BUILDING 65,9900 COLLEGE BOULEVARD,OVERLAND PARK,KS,66210,,RT,1982,,28612,0,6,0.022335,0.022335,668348.61596385,N,,20170615,6600000,,,,,,,,,,,,,,,,,,,20170929,835285,359426,475859,1.5930,6600000,20170615,1,,,,,,,,,,,,,,,,20170929,,,,,,,,,436258,1.4605,,,,,,,CMSA,,,,,,,N,,,,,,,,
CGCMT17P8,304101875,4,4-015,20171117,,CORPORATE WOODS - BUILDING 3,8700 INDIAN CREEK PARKWAY,OVERLAND PARK,KS,66210,,OF,1979,,60950,0,6,0.022335,0.022335,668348.61596385,N,,20170615,6600000,,,,,,,,,,,,,,,,,,,20170929,1089487,673238,416249,1.3935,6600000,20170615,0.8120,,,,,,,,,,,,,,,,20170929,,,,,,,,,334074,1.1184,,,,,,,CMSA,,,,,,,N,,,,,,,,
CGCMT17P8,304101875,4,4-016,20171117,,CORPORATE WOODS - BUILDING 75,10800 FARLEY STREET,OVERLAND PARK,KS,66210,,OF,1980,,48156,0,6,0.01522840,0.01522840,455691.9661224040,N,,20170615,4500000,,,,,,,,,,,,,,,,,,,20170929,895594,519471,376123,1.8468,4500000,20170615,0.8890,,,,,,,,,,,,,,,,20170929,,,,,,,,,314543,1.5444,,,,,,,CMSA,,,,,,,N,,,,,,,,
CGCMT17P8,304101871,5,5-001,20171117,,BANK OF AMERICA PLAZA,2600 WEST BIG BEAVER ROAD,TROY,MI,48084,,OF,1988,2016,438996,0,6,1,1,47600000,N,,20170717,79200000,,,,,,,,,,,,,,,,,,,20170929,9961338,3629046,6332292,2.3068,79200000,20170717,0.8580,,,,,,,,,,,,,,,,20170929,,,,,,,,,5888123,2.1450,,,,,,,CMSA,,,,,,,N,,,,,,,,
CGCMT17P8,304101863,6,6-001,20171117,,MALL OF LOUISIANA,"6401 BLUEBONNET BOULEVARD  AND 9168 AND 9330 MALL OF LOUISIANA BOULEVARD",BATON ROUGE,LA,70836,,RT,1997,2008,776789,0,6,1,1,30000000,N,,20170623,570000000,,,,,,,,,,,,,,,,,,,20170929,43215235,7152310,36062925,1.9406,570000000,20170623,0.9180,,,,,,,,,,,,,,,,20170929,,,,,,,,,34433639,1.8529,,,,,,,CMSA,,,,,,,N,,,,,,,,
CGCMT17P8,308711007,7,7-001,20171117,,THE GROVE AT SHREWSBURY,525-641 BROAD STREET,SHREWSBURY,NJ,07724,,RT,1988,,147878,0,6,1,1,43600000,N,,20170712,120800000,,,,,,,,,,,,,,,,,,,20170929,9438352,2806828,6631524,3.9791,120800000,20170712,0.9860,,,,,,,,,,,,,,,,20170929,,,,,,,,,6436325,3.8620,,,,,,,CMSA,,,,,,,N,,,,,,,,
