WFCM16C34		310932870	14	15625000	120	360	0.0456	0.0456	20160511	5	Y	Y	1	3	Y	5	20180610		20260110	"L(25),D(91),O(4)"											1						N			119	360	20260411	15625000	0.0456	0.000178					0.000005	0.045417	61354.17	1	Tempe Square	6404-6454 South McClintock Drive & 1701-1715 East Guadalupe Road	Tempe	AZ	85283		RT	113693		1990			25100000	20160215	0.87	1874944	489771		N			Y	Y	1		20180611			1302134	1.36		WFB			0	WL
WFCM16C34		300571523	15	14800000	120	360	0.0545	0.0545	20160606	0	N	Y	1	3	Y	2	20180605		20260205	"L(24),D(92),O(4)"											1						N			120	360	20260506	14800000	0.0545	0.000178					0.000005	0.054317	83569.07	1	Perrysburg Market Center	10005-10085 Fremont Pike	Perrysburg	OH	43551		RT	144976		2004			20000000	20160305	0.95	2195738	758159		N			Y	Y	1		20180606			1321164	1.32		RMF			0	WL
WFCM16C34		310933343	16	12900000	120	360	0.0483	0.0483	20160311	5	Y	Y	1	3	Y	5	20180610		20251110	"L(27),D(89),O(4)"											1						N			117	360	20260211	12900000	0.0483	0.000178					0.000005	0.048117	53653.25	1	Pacific Palisades Bowl MHC	16321 Pacific Coast Highway	Pacific Palisades	CA	90272		MH		158	1954			18600000	20150731	0.98	1671432	553899		N			Y	Y	1		20180611			1101287	1.35		WFB			0	WL
WFCM16C34		310932181	17	12700000	120	360	0.0481	0.0481	20160311	5	Y	Y	1	3	Y	5	20180610		20251110	"L(27),D(89),O(4)"											1						N			117	360	20260211	12700000	0.0481	0.000178					0.000005	0.047917	52602.69	1	Sonora Plaza I	"708, 716, 722-740, 750, 760, 764, 796, 808 & 824 East Mono Way"	Sonora	CA	95370		RT	136131		1974			17000000	20151228	0.97	1588748	373041		N			Y	Y	1		20180611			1110039	1.39		WFB			1	WL
WFCM16C34		310933486	18	12100000	120	360	0.0483	0.0483	20160511	5	Y	Y	1	3	Y	5	20180610		20260110	"L(25),D(91),O(4)"											1						N			119	360	20260411	12100000	0.0483	0.000178					0.000005	0.048117	50325.92	1	Ward's Crossing	4024B & 4026D-4040 Wards Road	Lynchburg	VA	24502		RT	80937		2001			19200000	20160218	1	1668305	438991		N			Y	Y	1		20180611			1136681	1.49		WFB			0	WL
WFCM16C34		301741133	19	11200000	120	360	0.0525	0.0525	20160306	0	Y	Y	1	3	Y	5	20180605		20260205	"L(27),D(92),O(1)"											1						N			117	360	20260206	11200000	0.0525	0.000178					0.000005	0.052317	50633.33	1	Coral Cove Apartments	1751 Four Mile Cove Parkway	Cape Coral	FL	33990		MF		196	2001			15200000	20151201	0.97	2205890.52	1263907.75		N			Y	Y	1		20180606			893178.77	1.2		SPREF			0	WL
WFCM16C34		301741119	20	11100000	120	360	0.0491	0.0491	20160106	0	Y	Y	1	3	Y	5	20180605		20250905	"L(29),D(87),O(4)"											1						N			115	360	20251206	11100000	0.0491	0.000178					0.000005	0.048917	46931.42	1	Quail Valley Apartments	1800 FM 1092 Road	Missouri City	TX	77459		MF		176	1977			15330000	20151029	0.89	1788396.68	837776.9		N			Y	Y	1		20180606			906619.78	1.28		SPREF			0	WL
WFCM16C34		305950021	21	9930000	120	360	0.05252	0.05252	20160407	0	N	Y	1	3	Y	2	20180606		20251206	"L(26),D(90),O(4)"											1						N			118	358	20260307	9908633.53	0.05252	0.000178					0.000005	0.052337	54846.13	1	Securlock Colony	4316 Main Street	The Colony	TX	75056		SS	121607		1997			15400000	20160216	0.88	1235902	432562.96		N			Y	Y	1		20180607			792939.04	1.2		Natixis			0	WL
WFCM16C34		410923405	22	9850000	120	360	0.0473	0.0473	20160201	5	N	Y	1	3	Y	2	20180531	20250630	20250630	"L(28),GRTR 1% or YM or D(85),O(7)"											1						N			116	356	20260101	9801254.98	0.0473	0.000178					0.000005	0.047117	51263.59	1	Security Public Storage - Santa Rosa	1021 Hopper Avenue	Santa Rosa	CA	95403		SS	78525		1977			14950000	20151110	0.99	1296001	429922		N			N	N	1		20180601			851160	1.38		WFB			0	WL
WFCM16C34		301741132	23	9400000	120	360	0.05255	0.05255	20160306	0	Y	Y	1	3	Y	5	20180605		20251105	"L(27),D(89),O(4)"											1						N			117	360	20260206	9400000	0.05255	0.000178					0.000005	0.052367	42536.31	1	Overbrook Plaza	5610 Lancaster Avenue	Philadelphia	PA	19131		RT	69521		2004			12650000	20151025	0.98	1278590.94	403228.52		N			Y	Y	1		20180606			830173.77	1.33		SPREF			0	WL
WFCM16C34		301741135	24	9100000	120	360	0.0544	0.0544	20160606	0	N	Y	1	3	Y	2	20180605		20260105	"L(24),D(91),O(5)"											1						N			120	360	20260506	9100000	0.0544	0.000178					0.000005	0.054217	51326.75	1	Cypress Medical Plaza	20320 Northwest Freeway	Cypress	TX	77065		OF	46380		2007			13150000	20160210	0.96	1361738.35	443129.79		N			Y	Y	1		20180606			816572.56	1.33		SPREF			0	WL
