1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
Transaction Id,Group Id,Loan Id,Prospectus Loan Id,Original Note Amount,Original Term Of Loan,Original Amortization Term,Original Note Rate,Original Payment Rate,First Loan Payment Due Date,Grace Days Allowed,Interest Only (Y/N),Balloon  (Y/N),Interest Rate Type,Interest Accrual Method,Interest in Arrears,Payment Type Code,Prepayment Lock-out End Date,Yield Maintenance End Date,Prepayment Premium  End Date,Prepayment Terms Description,ARM Index Code,First Rate Adjustment Date,First Payment Adjustment Date,ARM Margin,Lifetime Rate Cap,Lifetime Rate Floor,Periodic Rate Increase Limit,Periodic Rate Decrease Limit,Periodic Pay Adjustment Max-%,Periodic Pay Adjustment Max-$,Payment Frequency,Rate Reset Frequency,Pay Reset Frequency,Rounding Code,Rounding Increment,Index Look Back in Days,Negative Amortization Allowed (Y/N),Max Neg Allowed (% of Orig Bal),Maximum Negate Allowed ($),Remaining Term At Contribution,Remaining Amort Term At Contribution,Maturity Date At Contribution,Scheduled Principal Balance At Contribution,Note Rate At Contribution,Servicer and Trustee Fee Rate,Fee Rate / Strip Rate 1,Fee Rate / Strip Rate 2,Fee Rate / Strip Rate 3,Fee Rate / Strip Rate 4,Fee Rate / Strip Rate 5,Net Rate At Contribution,Periodic P&I Payment At Contribution,# of Properties at Contribution,Property Name,Property Address,Property City,Property State,Property Zip Code,Property County,Property Type Code,Net Rentable Square Feet At Contribution,# of Units/Beds/Rooms At Contribution,Year Built,NOI At Contribution,DSCR (NOI) At Contribution,Appraisal Value At Contribution,Appraisal Date At Contribution,Physical Occupancy At Contribution,Revenue At Contribution,Operating Expenses At Contribution,Contribution Financials As Of Date,Recourse (Y/N),EMPTY FIELD,Cross-Collateralized Loan Grouping,Collection Of Escrows (Y/N),Collection of Other Reserves (Y/N),Lien Position At Contribution,Hyper Amortizing Begin Date,Defeasance Option Start Date,EMPTY FIELD,Last Setup Change Date,NCF At Contribution,DSCR (NCF) at Contribution,DSCR Indicator at Contribution,Loan Contributor to Securitization,Credit Tenant Lease,Financial Information Submission Penalties,Additional Financing Indicator,Loan Structure Code
CGCMT14GC19,,623100065,9,26500000,120,360,0.0535,0.0535,20140306,0,N,Y,1,3,Y,2,20160405,,,Lockout/25_Defeasance/91_0%/4,,,,,,,,,,,1,,,,,,N,,,119,360,20240206,26462289.81,0.0535,0.0001275,,,,,0.000005,0.0533675,147979.63,1,Twin River Commons Student Housing,45 Washington Street,Binghamton,New York,13901,Incomplete,MF,,371,2012,2257413,0.09,37000000,20131127,1,3650744,1393331,,N,,,Y,Y,1,,20160406,,20140320,2208626,1.24,,MC-FiveMile,N,,0,WL
CGCMT14GC19,,301670010,10,25590000,120,360,0.048855,0.048855,20140306,0,Y,Y,1,3,Y,5,20160405,,,Lockout/25_Defeasance/91_0%/4,,,20160306,,,,,,,,1,,,,,,N,,,119,360,20240206,25590000,0.048855,0.0001275,0.0002,,,,0.000005,0.0487225,107656.06,1,350 North Clark,350 North Clark Street,Chicago ,Illinois,60654,Incomplete,OF,110664,,1912,2401617.4,0.09,35700000,20131201,1,3174215,772597.6,,N,,,N,Y,1,,20160406,,20140320,2235621.4,1.37,,CCRE,N,,0,WL
CGCMT14GC19,,301670011,11,20000000,120,,0.04699,0.04699,20140406,0,Y,Y,1,3,Y,3,20160405,,,Lockout/24_Defeasance/92_0%/4,,,,,,,,,,,1,,,,,,N,,,120,,20240306,20000000,0.04699,0.0001275,,,,,0.000005,0.0468575,80927.22,1,808 Brannan Street,808 Brannan Street & 572 7th Street,San Francisco,California,94103,Incomplete,OF,60860,,1930,2291647,0.11,35200000,20131230,1,3001684,710037,,N,,,Y,Y,1,,20160406,,20140320,2218615,2.33,,GSMC,N,,0,WL
CGCMT14GC19,,301670012,12,20000000,60,360,0.041575,0.041575,20140306,0,N,Y,1,3,Y,2,20160405,,,Lockout/25_Defeasance/32_0%/3,,,,,,,,,,,1,,,,,,N,,,59,360,20190206,19967364.25,0.041575,0.0001275,,,,,0.000005,0.0414425,97307.97,4,Phoenix Shadow Anchored Retail Portfolio,,,,,Incomplete,,117304,,,1900336,0.1,27250000,,0.87,2805635,905299,,N,,,Y,Y,1,,20160406,,20140320,1775677,1.52,,GSMC,N,,0,WL
CGCMT14GC19,,301670013,13,18400000,120,360,0.04939,0.04939,20140206,0,Y,Y,1,3,Y,5,20160405,,,Lockout/26_Defeasance/90_0%/4,,,20170206,,,,,,,,1,,,,,,N,,,118,360,20240106,18400000,0.04939,0.0001275,,,,,0.000005,0.0492575,78255.71,1,Mid-City Plaza,953 Payne Avenue & 301 Meadow Drive,North Tonawanda,New York,14120,Incomplete,RT,218144,,1958,2206228,0.12,24700000,20131113,0.95,3200913,994685,,N,,,Y,Y,1,,20160406,,20140320,2043594,1.74,,GSMC,N,,0,WL
CGCMT14GC19,,623100055,14,17100000,120,360,0.0572,0.0572,20140206,0,N,Y,1,3,Y,2,20160405,,,Lockout/26_Defeasance/90_0%/4,,,,,,,,,,,1,,,,,,N,,,118,360,20240106,17061304.59,0.0572,0.0001275,,,,,0.000005,0.0570675,99465.31,1,Highland Estates MHC,2197 East Mount Morris Road,Mount Morris,Michigan,48458,Incomplete,MH,,644,1985,1837712,0.11,23000000,20131003,0.83,2912845,1075133,,N,,,Y,Y,1,,20160406,,20140320,1802292,1.51,,MC-FiveMile,N,,0,WL
CGCMT14GC19,,623100051,15,17000000,120,360,0.0551,0.0551,20140106,10,N,Y,1,3,Y,2,20160405,,,Lockout/27_Defeasance/89_0%/4,,,,,,,,,,,1,,,,,,N,,,117,360,20231206,16944069.55,0.0551,0.0001275,,,,,0.000005,0.0549675,96630.82,1,Huntington Lakes Apartments,7324 Skillman Street,Dallas,Texas,75231,Incomplete,MF,,405,1984,1584875,0.09,23440000,20131009,0.92,3240219,1655345,,N,,,Y,Y,1,,20160406,,20140320,1483625,1.28,,MC-FiveMile,N,,0,WL
CGCMT14GC19,,301670016,16,16200000,120,360,0.051415,0.051415,20140306,0,N,Y,1,3,Y,2,20160405,,,Lockout/25_Defeasance/91_0%/4,,,,,,,,,,,1,,,,,,N,,,119,360,20240206,16176411.47,0.051415,0.0001275,,,,,0.000005,0.0512825,88371.43,1,Western Crossing,2207 South Western Street,Amarillo,Texas,79109,Incomplete,RT,167600,,2008,1524233,0.09,21600000,20131125,0.98,2095080,570847,,N,,,Y,Y,1,,20160406,,20140320,1408480,1.33,,GSMC,N,,0,WL
CGCMT14GC19,,304101122,17,15060000,120,360,0.0499,0.0499,20140206,0,Y,Y,1,3,Y,5,20160405,,,Lockout/26_Defeasance/90_0%/4,,,20170206,,,,,,,,1,,,,,,N,,,118,360,20240106,15060000,0.0499,0.0003275,,,,,0.000005,0.0495675,64711.98,1,Anthem Marketplace,3655 West Anthem Way,Anthem,Arizona,85086,Incomplete,RT,113292,,2000,1434654,0.1,21700000,20131105,0.9,2147918,713264,,N,,,Y,Y,1,,20160406,,20140320,1315795.71,1.36,,CGMRC,N,,0,WL
CGCMT14GC19,,301670018,18,14400000,120,360,0.04915,0.04915,20140206,0,Y,Y,1,3,Y,5,20160405,,,Lockout/26_Defeasance/91_0%/3,,,20170206,,,,,,,,1,,,,,,N,,,118,360,20240106,14400000,0.04915,0.0001275,0.0002,,,,0.000005,0.0490175,60946,1,Knobs Pointe,2702 Paoli Pike,New Albany,Indiana,47150,Incomplete,MF,,384,1972,1483506.47,0.1,19650000,20131011,0.92,2954813,1471306.53,,N,,,Y,Y,1,,20160406,,20140320,1362680.47,1.48,,CCRE,N,,0,WL
